pitchOutcome,Vel,PXNorm,PZNorm,x,y,pitchType,count,outs,inn,batterHand,pitcherHand,batter,pitcher,battingTeam,pitchingTeam,pitchOutcome,Vel,PXNorm,PZNorm,pitchType,count
Ball,60.4,1.62723778415922,0.338918083500076,-1.62723778415922,0.338918083500076,Curveball,1-1,2,Bot 1,R,R,Maae,Caldwell,UCSB,UCSD,Ball,60.4,1.62723778415922,0.338918083500076,Curveball,1-1
Ball,61.9,1.69233809726848,0.773292766007214,-1.69233809726848,0.773292766007214,Curveball,2-1,2,Bot 1,R,R,Maae,Caldwell,UCSB,UCSD,Ball,61.9,1.69233809726848,0.773292766007214,Curveball,2-1
SL,60.4,0.560813064281724,-0.0075103751607427,-0.560813064281724,-0.0075103751607427,Curveball,3-1,2,Bot 1,R,R,Maae,Caldwell,UCSB,UCSD,SL,60.4,0.560813064281724,-0.0075103751607427,Curveball,3-1
S,62.0,0.363041050511342,0.281155567739481,-0.363041050511342,0.281155567739481,Curveball,3-2,2,Bot 1,R,R,Maae,Caldwell,UCSB,UCSD,S,62.0,0.363041050511342,0.281155567739481,Curveball,3-2
Ball,62.1,1.8665309597485,1.01226234487266,-1.8665309597485,1.01226234487266,Riseball,3-2,2,Bot 1,R,R,Maae,Caldwell,UCSB,UCSD,Ball,62.1,1.8665309597485,1.01226234487266,Riseball,3-2
S,60.8,0.914120290135534,0.948988561065604,-0.914120290135534,0.948988561065604,Fastball,0-0,2,Bot 1,R,R,Carr,Caldwell,UCSB,UCSD,S,60.8,0.914120290135534,0.948988561065604,Fastball,0-0
Ball,60.5,1.63164378883849,0.245385000848802,-1.63164378883849,0.245385000848802,Curveball,0-1,2,Bot 1,R,R,Carr,Caldwell,UCSB,UCSD,Ball,60.5,1.63164378883849,0.245385000848802,Curveball,0-1
B,60.8,0.650824465679863,0.988667779065383,-0.650824465679863,0.988667779065383,Fastball,1-1,2,Bot 1,R,R,Carr,Caldwell,UCSB,UCSD,B,60.8,0.650824465679863,0.988667779065383,Fastball,1-1
B,60.1,0.0585958217288129,0.144487848444859,-0.0585958217288129,0.144487848444859,Curveball,0-0,0,Bot 3,L,R,Mendoza,Christian,UCSB,UCSD,B,60.1,0.0585958217288129,0.144487848444859,Curveball,0-0
Ball,60.4,-1.3092184370569,-1.54566797434407,1.3092184370569,-1.54566797434407,Dropball,0-0,1,Bot 3,R,R,Santos,Christian,UCSB,UCSD,Ball,60.4,-1.3092184370569,-1.54566797434407,Dropball,0-0
Ball,62.1,1.23503839434487,1.37733233636914,-1.23503839434487,1.37733233636914,Riseball,1-0,1,Bot 3,R,R,Santos,Christian,UCSB,UCSD,Ball,62.1,1.23503839434487,1.37733233636914,Riseball,1-0
SL,61.7,0.49301173079015,0.337272818695561,-0.49301173079015,0.337272818695561,Curveball,2-0,1,Bot 3,R,R,Santos,Christian,UCSB,UCSD,SL,61.7,0.49301173079015,0.337272818695561,Curveball,2-0
S,59.8,-0.0757135433623395,-0.209145810175788,0.0757135433623395,-0.209145810175788,Dropball,2-1,1,Bot 3,R,R,Santos,Christian,UCSB,UCSD,S,59.8,-0.0757135433623395,-0.209145810175788,Dropball,2-1
S,61.4,0.629052575325159,1.05784048995658,-0.629052575325159,1.05784048995658,Riseball,2-2,1,Bot 3,R,R,Santos,Christian,UCSB,UCSD,S,61.4,0.629052575325159,1.05784048995658,Riseball,2-2
S,62.0,-0.517849594199152,1.1820399878542,0.517849594199152,1.1820399878542,Riseball,0-0,2,Bot 3,L,R,Mejia,Christian,UCSB,UCSD,S,62.0,-0.517849594199152,1.1820399878542,Riseball,0-0
B,62.3,-0.217904972141135,0.632495426774167,0.217904972141135,0.632495426774167,Curveball,0-1,2,Bot 3,L,R,Mejia,Christian,UCSB,UCSD,B,62.3,-0.217904972141135,0.632495426774167,Curveball,0-1
Ball,61.6,0.838369739669528,1.34564297620974,-0.838369739669528,1.34564297620974,Riseball,0-0,0,Bot 4,R,R,Banks,Christian,UCSB,UCSD,Ball,61.6,0.838369739669528,1.34564297620974,Riseball,0-0
SL,60.5,0.527630940691715,0.542278957686764,-0.527630940691715,0.542278957686764,Curveball,1-0,0,Bot 4,R,R,Banks,Christian,UCSB,UCSD,SL,60.5,0.527630940691715,0.542278957686764,Curveball,1-0
Ball,60.0,0.654839432600776,-1.52058477285781,-0.654839432600776,-1.52058477285781,Dropball,1-1,0,Bot 4,R,R,Banks,Christian,UCSB,UCSD,Ball,60.0,0.654839432600776,-1.52058477285781,Dropball,1-1
Ball,61.7,1.35505509461598,0.883067225333092,-1.35505509461598,0.883067225333092,Curveball,2-1,0,Bot 4,R,R,Banks,Christian,UCSB,UCSD,Ball,61.7,1.35505509461598,0.883067225333092,Curveball,2-1
Ball,59.4,0.970214718084669,1.2180678490363,-0.970214718084669,1.2180678490363,Fastball,3-1,0,Bot 4,R,R,Banks,Christian,UCSB,UCSD,Ball,59.4,0.970214718084669,1.2180678490363,Fastball,3-1
Ball,61.3,0.293999751436866,-1.4321439240838,-0.293999751436866,-1.4321439240838,Dropball,0-0,0,Bot 4,R,R,Acosta,Christian,UCSB,UCSD,Ball,61.3,0.293999751436866,-1.4321439240838,Dropball,0-0
Ball,60.5,1.49012013050775,1.0761138179612,-1.49012013050775,1.0761138179612,Riseball,1-0,0,Bot 4,R,R,Acosta,Christian,UCSB,UCSD,Ball,60.5,1.49012013050775,1.0761138179612,Riseball,1-0
SL,61.4,-0.0883947708899895,0.6897653316713,0.0883947708899895,0.6897653316713,Curveball,2-0,0,Bot 4,R,R,Acosta,Christian,UCSB,UCSD,SL,61.4,-0.0883947708899895,0.6897653316713,Curveball,2-0
